"year","id","region","arealFjell","mean_snow"
1967,1,"Nord-Norge",59822.7350921747,129.67208448403
1967,2,"Midt-Norge",18294.6375230299,150.229512978695
1967,3,"Østlandet",19004.1775274179,120.95154031148
1967,4,"Vestlandet",20329.6250265664,271.652470846871
1967,5,"Sørlandet",7085.62001515692,203.487732655562
1968,1,"Nord-Norge",59822.7350921747,146.304369246255
1968,2,"Midt-Norge",18294.6375230299,229.287950845615
1968,3,"Østlandet",19004.1775274179,135.540929401165
1968,4,"Vestlandet",20329.6250265664,334.212852030439
1968,5,"Sørlandet",7085.62001515692,176.053092226729
1969,1,"Nord-Norge",59822.7350921747,125.979624913385
1969,2,"Midt-Norge",18294.6375230299,101.444132428485
1969,3,"Østlandet",19004.1775274179,75.4867172823924
1969,4,"Vestlandet",20329.6250265664,144.131543840736
1969,5,"Sørlandet",7085.62001515692,103.862952911788
1970,1,"Nord-Norge",59822.7350921747,108.774363419306
1970,2,"Midt-Norge",18294.6375230299,147.778265325681
1970,3,"Østlandet",19004.1775274179,82.1599846277732
1970,4,"Vestlandet",20329.6250265664,189.757379037088
1970,5,"Sørlandet",7085.62001515692,131.279336949545
1971,1,"Nord-Norge",59822.7350921747,153.675426589992
1971,2,"Midt-Norge",18294.6375230299,161.299117969402
1971,3,"Østlandet",19004.1775274179,90.8629397238077
1971,4,"Vestlandet",20329.6250265664,244.505499216548
1971,5,"Sørlandet",7085.62001515692,176.413841179814
1972,1,"Nord-Norge",59822.7350921747,145.512214973429
1972,2,"Midt-Norge",18294.6375230299,159.902814944292
1972,3,"Østlandet",19004.1775274179,97.4899121636949
1972,4,"Vestlandet",20329.6250265664,246.819705073355
1972,5,"Sørlandet",7085.62001515692,145.166567043325
1973,1,"Nord-Norge",59822.7350921747,165.996792769882
1973,2,"Midt-Norge",18294.6375230299,171.466336502056
1973,3,"Østlandet",19004.1775274179,84.9132076244675
1973,4,"Vestlandet",20329.6250265664,289.711823430509
1973,5,"Sørlandet",7085.62001515692,155.169269325027
1974,1,"Nord-Norge",59822.7350921747,162.94035903757
1974,2,"Midt-Norge",18294.6375230299,185.633314252935
1974,3,"Østlandet",19004.1775274179,94.6061057655698
1974,4,"Vestlandet",20329.6250265664,275.447037357732
1974,5,"Sørlandet",7085.62001515692,168.401541178318
1975,1,"Nord-Norge",59822.7350921747,106.761407453263
1975,2,"Midt-Norge",18294.6375230299,154.021834318461
1975,3,"Østlandet",19004.1775274179,123.834016539112
1975,4,"Vestlandet",20329.6250265664,289.994472854145
1975,5,"Sørlandet",7085.62001515692,209.453420414077
1976,1,"Nord-Norge",59822.7350921747,182.113098368824
1976,2,"Midt-Norge",18294.6375230299,278.96210957112
1976,3,"Østlandet",19004.1775274179,133.515232076536
1976,4,"Vestlandet",20329.6250265664,332.425475095137
1976,5,"Sørlandet",7085.62001515692,173.098478069776
1977,1,"Nord-Norge",59822.7350921747,123.369985918426
1977,2,"Midt-Norge",18294.6375230299,110.710464260079
1977,3,"Østlandet",19004.1775274179,96.7969394705512
1977,4,"Vestlandet",20329.6250265664,152.2272302805
1977,5,"Sørlandet",7085.62001515692,133.484818410961
1978,1,"Nord-Norge",59822.7350921747,140.240710114856
1978,2,"Midt-Norge",18294.6375230299,107.613635109006
1978,3,"Østlandet",19004.1775274179,84.6465278530563
1978,4,"Vestlandet",20329.6250265664,172.655379984862
1978,5,"Sørlandet",7085.62001515692,139.80970047344
1979,1,"Nord-Norge",59822.7350921747,152.985812207512
1979,2,"Midt-Norge",18294.6375230299,160.41211691602
1979,3,"Østlandet",19004.1775274179,103.00143765745
1979,4,"Vestlandet",20329.6250265664,246.204469633826
1979,5,"Sørlandet",7085.62001515692,128.141759983146
1980,1,"Nord-Norge",59822.7350921747,118.117702358566
1980,2,"Midt-Norge",18294.6375230299,124.664805034721
1980,3,"Østlandet",19004.1775274179,79.9981059935024
1980,4,"Vestlandet",20329.6250265664,221.17072974678
1980,5,"Sørlandet",7085.62001515692,128.618890086214
1981,1,"Nord-Norge",59822.7350921747,162.151926603939
1981,2,"Midt-Norge",18294.6375230299,210.534199205351
1981,3,"Østlandet",19004.1775274179,133.306049175628
1981,4,"Vestlandet",20329.6250265664,350.076307965523
1981,5,"Sørlandet",7085.62001515692,197.885799821857
1982,1,"Nord-Norge",59822.7350921747,121.347468262862
1982,2,"Midt-Norge",18294.6375230299,146.43022476386
1982,3,"Østlandet",19004.1775274179,113.897191471369
1982,4,"Vestlandet",20329.6250265664,247.667803599263
1982,5,"Sørlandet",7085.62001515692,156.917476315124
1983,1,"Nord-Norge",59822.7350921747,140.329932188579
1983,2,"Midt-Norge",18294.6375230299,177.072812117658
1983,3,"Østlandet",19004.1775274179,137.494437255866
1983,4,"Vestlandet",20329.6250265664,346.280157833995
1983,5,"Sørlandet",7085.62001515692,242.883158819941
